17:28:09: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 44] Logger initialized
17:28:09: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 58] HeartbeatSender created, starting main loop
17:28:10: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 64] Sent heartbeat
17:28:11: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 64] Sent heartbeat
17:28:12: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 64] Sent heartbeat
17:28:13: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 64] Sent heartbeat
17:28:14: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 64] Sent heartbeat
17:28:15: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 64] Sent heartbeat
17:28:16: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 64] Sent heartbeat
17:28:17: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 64] Sent heartbeat
17:28:18: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 64] Sent heartbeat
17:28:19: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 64] Sent heartbeat
17:28:20: [INFO] [/Users/jaydenchan/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 64] Sent heartbeat
